Date,City,Shelter Type,Shelter Name,Organization,Shelter,Funded,Capacity,Overnight,Year,Month
03/05/2014 12:00:00 AM,Edmonton,Short Term Supportive,Edwardson Place - Short Term Supportive,Edwardson Place,,20,24,16,2014,3
05/31/2013 12:00:00 AM,Edmonton,Short Term Supportive,Sparling Lodge - Short Term Supportive,Sparling Lodge,,20,20,20,2013,5
08/15/2018 12:00:00 AM,Edmonton,Short Term Supportive,Urban Manor - Short Term Supportive,Urban Manor,,75,75,54,2018,8
11/03/2016 12:00:00 AM,Edmonton,Short Term Supportive,McCauley Lodge - Short Term Supportive,McCauley Lodge,,58,58,58,2016,11
02/14/2016 12:00:00 AM,Edmonton,Short Term Supportive,Salvation Army Addictions and Residential Centre - Short Term Supportive,Salvation Army Addictions and Residential Centre,,142,148,131,2016,2
06/09/2017 12:00:00 AM,Edmonton,Short Term Supportive,Salvation Army Addictions and Residential Centre - Short Term Supportive,Salvation Army Addictions and Residential Centre,,142,148,102,2017,6
05/17/2017 12:00:00 AM,Edmonton,Short Term Supportive,McCauley Lodge - Short Term Supportive,McCauley Lodge,,58,58,57,2017,5
05/20/2013 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,234,2013,5
05/24/2017 12:00:00 AM,Edmonton,Short Term Supportive,Sparling Lodge - Short Term Supportive,Sparling Lodge,,20,20,20,2017,5
06/04/2014 12:00:00 AM,Edmonton,Short Term Supportive,Urban Manor - Short Term Supportive,Urban Manor,,75,75,72,2014,6
08/29/2014 12:00:00 AM,Edmonton,Short Term Supportive,McCauley Lodge - Short Term Supportive,McCauley Lodge,,58,58,58,2014,8
02/27/2018 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,106,2018,2
05/16/2014 12:00:00 AM,Edmonton,Adult Emergency,Hope Mission - Herb Jamieson Centre,Hope Mission,Herb Jamieson Centre,235,250,221,2014,5
04/26/2018 12:00:00 AM,Edmonton,Short Term Supportive,McCauley Lodge - Short Term Supportive,McCauley Lodge,,58,58,56,2018,4
02/22/2016 12:00:00 AM,Edmonton,Short Term Supportive,Salvation Army Addictions and Residential Centre - Short Term Supportive,Salvation Army Addictions and Residential Centre,,142,148,134,2016,2
05/29/2017 12:00:00 AM,Edmonton,Women Emergency,Hope Mission - Women WEmS,Hope Mission,Women WEmS,50,70,39,2017,5
09/12/2017 12:00:00 AM,Edmonton,Short Term Supportive,McCauley Lodge - Short Term Supportive,McCauley Lodge,,58,58,58,2017,9
09/14/2015 12:00:00 AM,Edmonton,Short Term Supportive,McCauley Lodge - Short Term Supportive,McCauley Lodge,,58,58,58,2015,9
06/24/2016 12:00:00 AM,Edmonton,Short Term Supportive,Salvation Army Addictions and Residential Centre - Short Term Supportive,Salvation Army Addictions and Residential Centre,,142,148,101,2016,6
04/16/2017 12:00:00 AM,Edmonton,Winter Emergency,Hope Mission - Mat Emergency Shelter Program,Hope Mission,Mat Emergency Shelter Program,130,200,161,2017,4
01/19/2014 12:00:00 AM,Edmonton,Short Term Supportive,Salvation Army Addictions and Residential Centre - Short Term Supportive,Salvation Army Addictions and Residential Centre,,142,148,143,2014,1
01/07/2015 12:00:00 AM,Edmonton,Youth Emergency,Hope Mission - Youth,Hope Mission,Youth,40,60,37,2015,1
12/14/2018 12:00:00 AM,Edmonton,Winter Emergency,Hope Mission - Mat Emergency Shelter Program,Hope Mission,Mat Emergency Shelter Program,130,200,177,2018,12
06/12/2016 12:00:00 AM,Edmonton,Intox,Hope Mission - Intox Centre,Hope Mission,Intox Centre,70,70,70,2016,6
05/08/2014 12:00:00 AM,Edmonton,Short Term Supportive,Elizabeth House - Short Term Supportive,Elizabeth House,,20,24,21,2014,5
