Day,Shelter Name,Ratio
64,Edwardson Place - Short Term Supportive,0.6666666666666666
151,Sparling Lodge - Short Term Supportive,1.0
227,Urban Manor - Short Term Supportive,0.72
307,McCauley Lodge - Short Term Supportive,1.0
45,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.8851351351351351
160,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.6891891891891891
137,McCauley Lodge - Short Term Supportive,0.9827586206896551
140,Hope Mission - Herb Jamieson Centre,0.936
144,Sparling Lodge - Short Term Supportive,1.0
155,Urban Manor - Short Term Supportive,0.96
241,McCauley Lodge - Short Term Supportive,1.0
58,Hope Mission - Herb Jamieson Centre,0.424
136,Hope Mission - Herb Jamieson Centre,0.884
116,McCauley Lodge - Short Term Supportive,0.9655172413793104
53,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9054054054054054
149,Hope Mission - Women WEmS,0.5571428571428572
255,McCauley Lodge - Short Term Supportive,1.0
257,McCauley Lodge - Short Term Supportive,1.0
175,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.6824324324324325
106,Hope Mission - Mat Emergency Shelter Program,0.805
19,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9662162162162162
7,Hope Mission - Youth,0.6166666666666667
348,Hope Mission - Mat Emergency Shelter Program,0.885
163,Hope Mission - Intox Centre,1.0
128,Elizabeth House - Short Term Supportive,0.875
103,Hope Mission - Mat Emergency Shelter Program,0.81
129,McCauley Lodge - Short Term Supportive,1.0
298,McCauley Lodge - Short Term Supportive,0.9827586206896551
260,Hope Mission - Herb Jamieson Centre,0.816
129,Sparling Lodge - Short Term Supportive,1.0
296,Hope Mission - Women WEmS,0.6142857142857143
180,WEAC,0.8484848484848485
227,McCauley Lodge - Short Term Supportive,1.0
298,Hope Mission - Intox Centre,1.042857142857143
248,Urban Manor - Short Term Supportive,0.8666666666666667
227,WEAC,0.9242424242424242
302,Hope Mission - Youth,0.3
97,McCauley Lodge - Short Term Supportive,1.0
269,Elizabeth House - Short Term Supportive,0.8333333333333334
107,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.8581081081081081
336,Hope Mission - Herb Jamieson Centre,0.72
137,Hope Mission - Mat Emergency Shelter Program,0.78
340,Hope Mission - Women WEmS,1.0285714285714285
185,McCauley Lodge - Short Term Supportive,1.0
346,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.8648648648648649
140,McCauley Lodge - Short Term Supportive,1.0
6,Hope Mission - Women WEmS,0.6571428571428571
127,Sparling Lodge - Short Term Supportive,1.0
34,Hope Mission - Intox Centre,1.042857142857143
162,Edwardson Place - Short Term Supportive,0.875
62,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9391891891891891
5,WEAC,1.1818181818181819
365,Hope Mission - Youth,0.3333333333333333
107,McCauley Lodge - Short Term Supportive,1.0
175,Urban Manor - Short Term Supportive,0.9466666666666667
111,Hope Mission - Herb Jamieson Centre,1.076
171,Urban Manor - Short Term Supportive,0.88
61,McCauley Lodge - Short Term Supportive,1.0
22,Hope Mission - Mat Emergency Shelter Program,0.695
26,Sparling Lodge - Short Term Supportive,1.0
338,Hope Mission - Herb Jamieson Centre,0.804
235,WEAC,0.8775510204081632
157,Hope Mission - Mat Emergency Shelter Program,0.685
206,Hope Mission - Mat Emergency Shelter Program,0.8
90,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9662162162162162
12,Hope Mission - Mat Emergency Shelter Program,0.645
128,Hope Mission - Herb Jamieson Centre,0.656
238,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.6418918918918919
308,Urban Manor - Short Term Supportive,0.9066666666666666
36,Hope Mission - Mat Emergency Shelter Program,0.66
289,Hope Mission - Youth,0.5833333333333334
245,WEAC,0.9090909090909091
47,WEAC,0.6818181818181818
309,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9256756756756757
220,Hope Mission - Women WEmS,0.7142857142857143
363,Sparling Lodge - Short Term Supportive,1.0
309,Hope Mission - Mat Emergency Shelter Program,0.865
195,Hope Mission - Herb Jamieson Centre,0.8
185,Hope Mission - Mat Emergency Shelter Program,0.83
15,WEAC,0.9393939393939394
353,Hope Mission - Women WEmS,0.42857142857142855
24,Edwardson Place - Short Term Supportive,0.75
4,Hope Mission - Youth,0.3
15,Hope Mission - Youth,0.75
154,Hope Mission - Women WEmS,0.7428571428571429
224,Urban Manor - Short Term Supportive,0.92
264,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.7162162162162162
68,Hope Mission - Intox Centre,0.8428571428571429
319,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.972972972972973
317,Hope Mission - Women WEmS,1.0857142857142856
306,Hope Mission - Youth,0.7833333333333333
48,McCauley Lodge - Short Term Supportive,1.0
219,McCauley Lodge - Short Term Supportive,1.0
229,Hope Mission - Youth,0.35
275,Hope Mission - Herb Jamieson Centre,1.008
300,Hope Mission - Herb Jamieson Centre,0.44
143,Hope Mission - Youth,0.5
293,Sparling Lodge - Short Term Supportive,1.0
37,Hope Mission - Youth,0.4666666666666667
17,Hope Mission - Mat Emergency Shelter Program,0.85
97,Urban Manor - Short Term Supportive,0.9466666666666667
348,Urban Manor - Short Term Supportive,0.9866666666666667
98,Sparling Lodge - Short Term Supportive,1.0
330,Urban Manor - Short Term Supportive,0.9466666666666667
114,Hope Mission - Women WEmS,0.6428571428571429
2,Hope Mission - Intox Centre,1.0714285714285714
141,Hope Mission - Youth,0.8666666666666667
155,Edwardson Place - Short Term Supportive,0.875
266,Hope Mission - Women WEmS,0.7285714285714285
334,McCauley Lodge - Short Term Supportive,1.0
365,Hope Mission - Youth,0.43333333333333335
201,Hope Mission - Youth,0.48333333333333334
